dataset_name,model_name,BM_batch_size_ratio,hidden_dim,num_layers,epochs,learning_rate,synthetic_num_samples,dgan_original_data_ratio,finetuning_original_data_ratio
BasicMotions,inceptionTime,0.1,,,10,0.001,2,0.7,0.7
BasicMotions,inceptionTime,0.1,,,10,0.001,2,0.7,0.9
BasicMotions,inceptionTime,0.1,,,10,0.001,2,0.9,0.9
BasicMotions,inceptionTime,0.1,,,10,0.001,4,0.7,0.7
BasicMotions,inceptionTime,0.1,,,10,0.001,4,0.7,0.9
BasicMotions,inceptionTime,0.1,,,10,0.001,4,0.9,0.9
BasicMotions,inceptionTime,0.1,,,10,0.0001,2,0.7,0.7
BasicMotions,inceptionTime,0.1,,,10,0.0001,2,0.7,0.9
BasicMotions,inceptionTime,0.1,,,10,0.0001,2,0.9,0.9
BasicMotions,inceptionTime,0.1,,,10,0.0001,4,0.7,0.7
BasicMotions,inceptionTime,0.1,,,10,0.0001,4,0.7,0.9
BasicMotions,inceptionTime,0.1,,,10,0.0001,4,0.9,0.9
BasicMotions,inceptionTime,0.1,,,20,0.001,2,0.7,0.7
BasicMotions,inceptionTime,0.1,,,20,0.001,2,0.7,0.9
BasicMotions,inceptionTime,0.1,,,20,0.001,2,0.9,0.9
BasicMotions,inceptionTime,0.1,,,20,0.001,4,0.7,0.7
BasicMotions,inceptionTime,0.1,,,20,0.001,4,0.7,0.9
BasicMotions,inceptionTime,0.1,,,20,0.001,4,0.9,0.9
BasicMotions,inceptionTime,0.1,,,20,0.0001,2,0.7,0.7
BasicMotions,inceptionTime,0.1,,,20,0.0001,2,0.7,0.9
BasicMotions,inceptionTime,0.1,,,20,0.0001,2,0.9,0.9
BasicMotions,inceptionTime,0.1,,,20,0.0001,4,0.7,0.7
BasicMotions,inceptionTime,0.1,,,20,0.0001,4,0.7,0.9
BasicMotions,inceptionTime,0.1,,,20,0.0001,4,0.9,0.9
BasicMotions,inceptionTime,0.2,,,10,0.001,2,0.7,0.7
BasicMotions,inceptionTime,0.2,,,10,0.001,2,0.7,0.9
BasicMotions,inceptionTime,0.2,,,10,0.001,2,0.9,0.9
BasicMotions,inceptionTime,0.2,,,10,0.001,4,0.7,0.7
BasicMotions,inceptionTime,0.2,,,10,0.001,4,0.7,0.9
BasicMotions,inceptionTime,0.2,,,10,0.001,4,0.9,0.9
BasicMotions,inceptionTime,0.2,,,10,0.0001,2,0.7,0.7
BasicMotions,inceptionTime,0.2,,,10,0.0001,2,0.7,0.9
BasicMotions,inceptionTime,0.2,,,10,0.0001,2,0.9,0.9
BasicMotions,inceptionTime,0.2,,,10,0.0001,4,0.7,0.7
BasicMotions,inceptionTime,0.2,,,10,0.0001,4,0.7,0.9
BasicMotions,inceptionTime,0.2,,,10,0.0001,4,0.9,0.9
BasicMotions,inceptionTime,0.2,,,20,0.001,2,0.7,0.7
BasicMotions,inceptionTime,0.2,,,20,0.001,2,0.7,0.9
BasicMotions,inceptionTime,0.2,,,20,0.001,2,0.9,0.9
BasicMotions,inceptionTime,0.2,,,20,0.001,4,0.7,0.7
BasicMotions,inceptionTime,0.2,,,20,0.001,4,0.7,0.9
BasicMotions,inceptionTime,0.2,,,20,0.001,4,0.9,0.9
BasicMotions,inceptionTime,0.2,,,20,0.0001,2,0.7,0.7
BasicMotions,inceptionTime,0.2,,,20,0.0001,2,0.7,0.9
BasicMotions,inceptionTime,0.2,,,20,0.0001,2,0.9,0.9
BasicMotions,inceptionTime,0.2,,,20,0.0001,4,0.7,0.7
BasicMotions,inceptionTime,0.2,,,20,0.0001,4,0.7,0.9
BasicMotions,inceptionTime,0.2,,,20,0.0001,4,0.9,0.9
Cricket,inceptionTime,0.1,,,10,0.001,2,0.7,0.7
Cricket,inceptionTime,0.1,,,10,0.001,2,0.7,0.9
Cricket,inceptionTime,0.1,,,10,0.001,2,0.9,0.9
Cricket,inceptionTime,0.1,,,10,0.001,4,0.7,0.7
Cricket,inceptionTime,0.1,,,10,0.001,4,0.7,0.9
Cricket,inceptionTime,0.1,,,10,0.001,4,0.9,0.9
Cricket,inceptionTime,0.1,,,10,0.0001,2,0.7,0.7
Cricket,inceptionTime,0.1,,,10,0.0001,2,0.7,0.9
Cricket,inceptionTime,0.1,,,10,0.0001,2,0.9,0.9
Cricket,inceptionTime,0.1,,,10,0.0001,4,0.7,0.7
Cricket,inceptionTime,0.1,,,10,0.0001,4,0.7,0.9
Cricket,inceptionTime,0.1,,,10,0.0001,4,0.9,0.9
Cricket,inceptionTime,0.1,,,20,0.001,2,0.7,0.7
Cricket,inceptionTime,0.1,,,20,0.001,2,0.7,0.9
Cricket,inceptionTime,0.1,,,20,0.001,2,0.9,0.9
Cricket,inceptionTime,0.1,,,20,0.001,4,0.7,0.7
Cricket,inceptionTime,0.1,,,20,0.001,4,0.7,0.9
Cricket,inceptionTime,0.1,,,20,0.001,4,0.9,0.9
Cricket,inceptionTime,0.1,,,20,0.0001,2,0.7,0.7
Cricket,inceptionTime,0.1,,,20,0.0001,2,0.7,0.9
Cricket,inceptionTime,0.1,,,20,0.0001,2,0.9,0.9
Cricket,inceptionTime,0.1,,,20,0.0001,4,0.7,0.7
Cricket,inceptionTime,0.1,,,20,0.0001,4,0.7,0.9
Cricket,inceptionTime,0.1,,,20,0.0001,4,0.9,0.9
Cricket,inceptionTime,0.2,,,10,0.001,2,0.7,0.7
Cricket,inceptionTime,0.2,,,10,0.001,2,0.7,0.9
Cricket,inceptionTime,0.2,,,10,0.001,2,0.9,0.9
Cricket,inceptionTime,0.2,,,10,0.001,4,0.7,0.7
Cricket,inceptionTime,0.2,,,10,0.001,4,0.7,0.9
Cricket,inceptionTime,0.2,,,10,0.001,4,0.9,0.9
Cricket,inceptionTime,0.2,,,10,0.0001,2,0.7,0.7
Cricket,inceptionTime,0.2,,,10,0.0001,2,0.7,0.9
Cricket,inceptionTime,0.2,,,10,0.0001,2,0.9,0.9
Cricket,inceptionTime,0.2,,,10,0.0001,4,0.7,0.7
Cricket,inceptionTime,0.2,,,10,0.0001,4,0.7,0.9
Cricket,inceptionTime,0.2,,,10,0.0001,4,0.9,0.9
Cricket,inceptionTime,0.2,,,20,0.001,2,0.7,0.7
Cricket,inceptionTime,0.2,,,20,0.001,2,0.7,0.9
Cricket,inceptionTime,0.2,,,20,0.001,2,0.9,0.9
Cricket,inceptionTime,0.2,,,20,0.001,4,0.7,0.7
Cricket,inceptionTime,0.2,,,20,0.001,4,0.7,0.9
Cricket,inceptionTime,0.2,,,20,0.001,4,0.9,0.9
Cricket,inceptionTime,0.2,,,20,0.0001,2,0.7,0.7
Cricket,inceptionTime,0.2,,,20,0.0001,2,0.7,0.9
Cricket,inceptionTime,0.2,,,20,0.0001,2,0.9,0.9
Cricket,inceptionTime,0.2,,,20,0.0001,4,0.7,0.7
Cricket,inceptionTime,0.2,,,20,0.0001,4,0.7,0.9
Cricket,inceptionTime,0.2,,,20,0.0001,4,0.9,0.9
DuckDuckGeese,inceptionTime,0.1,,,10,0.001,2,0.7,0.7
DuckDuckGeese,inceptionTime,0.1,,,10,0.001,2,0.7,0.9
DuckDuckGeese,inceptionTime,0.1,,,10,0.001,2,0.9,0.9
DuckDuckGeese,inceptionTime,0.1,,,10,0.001,4,0.7,0.7
DuckDuckGeese,inceptionTime,0.1,,,10,0.001,4,0.7,0.9
DuckDuckGeese,inceptionTime,0.1,,,10,0.001,4,0.9,0.9
DuckDuckGeese,inceptionTime,0.1,,,10,0.0001,2,0.7,0.7
DuckDuckGeese,inceptionTime,0.1,,,10,0.0001,2,0.7,0.9
DuckDuckGeese,inceptionTime,0.1,,,10,0.0001,2,0.9,0.9
DuckDuckGeese,inceptionTime,0.1,,,10,0.0001,4,0.7,0.7
DuckDuckGeese,inceptionTime,0.1,,,10,0.0001,4,0.7,0.9
DuckDuckGeese,inceptionTime,0.1,,,10,0.0001,4,0.9,0.9
DuckDuckGeese,inceptionTime,0.1,,,20,0.001,2,0.7,0.7
DuckDuckGeese,inceptionTime,0.1,,,20,0.001,2,0.7,0.9
DuckDuckGeese,inceptionTime,0.1,,,20,0.001,2,0.9,0.9
DuckDuckGeese,inceptionTime,0.1,,,20,0.001,4,0.7,0.7
DuckDuckGeese,inceptionTime,0.1,,,20,0.001,4,0.7,0.9
DuckDuckGeese,inceptionTime,0.1,,,20,0.001,4,0.9,0.9
DuckDuckGeese,inceptionTime,0.1,,,20,0.0001,2,0.7,0.7
DuckDuckGeese,inceptionTime,0.1,,,20,0.0001,2,0.7,0.9
DuckDuckGeese,inceptionTime,0.1,,,20,0.0001,2,0.9,0.9
DuckDuckGeese,inceptionTime,0.1,,,20,0.0001,4,0.7,0.7
DuckDuckGeese,inceptionTime,0.1,,,20,0.0001,4,0.7,0.9
DuckDuckGeese,inceptionTime,0.1,,,20,0.0001,4,0.9,0.9
DuckDuckGeese,inceptionTime,0.2,,,10,0.001,2,0.7,0.7
DuckDuckGeese,inceptionTime,0.2,,,10,0.001,2,0.7,0.9
DuckDuckGeese,inceptionTime,0.2,,,10,0.001,2,0.9,0.9
DuckDuckGeese,inceptionTime,0.2,,,10,0.001,4,0.7,0.7
DuckDuckGeese,inceptionTime,0.2,,,10,0.001,4,0.7,0.9
DuckDuckGeese,inceptionTime,0.2,,,10,0.001,4,0.9,0.9
DuckDuckGeese,inceptionTime,0.2,,,10,0.0001,2,0.7,0.7
DuckDuckGeese,inceptionTime,0.2,,,10,0.0001,2,0.7,0.9
DuckDuckGeese,inceptionTime,0.2,,,10,0.0001,2,0.9,0.9
DuckDuckGeese,inceptionTime,0.2,,,10,0.0001,4,0.7,0.7
DuckDuckGeese,inceptionTime,0.2,,,10,0.0001,4,0.7,0.9
DuckDuckGeese,inceptionTime,0.2,,,10,0.0001,4,0.9,0.9
DuckDuckGeese,inceptionTime,0.2,,,20,0.001,2,0.7,0.7
DuckDuckGeese,inceptionTime,0.2,,,20,0.001,2,0.7,0.9
DuckDuckGeese,inceptionTime,0.2,,,20,0.001,2,0.9,0.9
DuckDuckGeese,inceptionTime,0.2,,,20,0.001,4,0.7,0.7
DuckDuckGeese,inceptionTime,0.2,,,20,0.001,4,0.7,0.9
DuckDuckGeese,inceptionTime,0.2,,,20,0.001,4,0.9,0.9
DuckDuckGeese,inceptionTime,0.2,,,20,0.0001,2,0.7,0.7
DuckDuckGeese,inceptionTime,0.2,,,20,0.0001,2,0.7,0.9
DuckDuckGeese,inceptionTime,0.2,,,20,0.0001,2,0.9,0.9
DuckDuckGeese,inceptionTime,0.2,,,20,0.0001,4,0.7,0.7
DuckDuckGeese,inceptionTime,0.2,,,20,0.0001,4,0.7,0.9
DuckDuckGeese,inceptionTime,0.2,,,20,0.0001,4,0.9,0.9
EigenWorms,inceptionTime,0.1,,,10,0.001,2,0.7,0.7
EigenWorms,inceptionTime,0.1,,,10,0.001,2,0.7,0.9
EigenWorms,inceptionTime,0.1,,,10,0.001,2,0.9,0.9
EigenWorms,inceptionTime,0.1,,,10,0.001,4,0.7,0.7
EigenWorms,inceptionTime,0.1,,,10,0.001,4,0.7,0.9
EigenWorms,inceptionTime,0.1,,,10,0.001,4,0.9,0.9
EigenWorms,inceptionTime,0.1,,,10,0.0001,2,0.7,0.7
EigenWorms,inceptionTime,0.1,,,10,0.0001,2,0.7,0.9
EigenWorms,inceptionTime,0.1,,,10,0.0001,2,0.9,0.9
EigenWorms,inceptionTime,0.1,,,10,0.0001,4,0.7,0.7
EigenWorms,inceptionTime,0.1,,,10,0.0001,4,0.7,0.9
EigenWorms,inceptionTime,0.1,,,10,0.0001,4,0.9,0.9
EigenWorms,inceptionTime,0.1,,,20,0.001,2,0.7,0.7
EigenWorms,inceptionTime,0.1,,,20,0.001,2,0.7,0.9
EigenWorms,inceptionTime,0.1,,,20,0.001,2,0.9,0.9
EigenWorms,inceptionTime,0.1,,,20,0.001,4,0.7,0.7
EigenWorms,inceptionTime,0.1,,,20,0.001,4,0.7,0.9
EigenWorms,inceptionTime,0.1,,,20,0.001,4,0.9,0.9
EigenWorms,inceptionTime,0.1,,,20,0.0001,2,0.7,0.7
EigenWorms,inceptionTime,0.1,,,20,0.0001,2,0.7,0.9
EigenWorms,inceptionTime,0.1,,,20,0.0001,2,0.9,0.9
EigenWorms,inceptionTime,0.1,,,20,0.0001,4,0.7,0.7
EigenWorms,inceptionTime,0.1,,,20,0.0001,4,0.7,0.9
EigenWorms,inceptionTime,0.1,,,20,0.0001,4,0.9,0.9
EigenWorms,inceptionTime,0.2,,,10,0.001,2,0.7,0.7
EigenWorms,inceptionTime,0.2,,,10,0.001,2,0.7,0.9
EigenWorms,inceptionTime,0.2,,,10,0.001,2,0.9,0.9
EigenWorms,inceptionTime,0.2,,,10,0.001,4,0.7,0.7
EigenWorms,inceptionTime,0.2,,,10,0.001,4,0.7,0.9
EigenWorms,inceptionTime,0.2,,,10,0.001,4,0.9,0.9
EigenWorms,inceptionTime,0.2,,,10,0.0001,2,0.7,0.7
EigenWorms,inceptionTime,0.2,,,10,0.0001,2,0.7,0.9
EigenWorms,inceptionTime,0.2,,,10,0.0001,2,0.9,0.9
EigenWorms,inceptionTime,0.2,,,10,0.0001,4,0.7,0.7
EigenWorms,inceptionTime,0.2,,,10,0.0001,4,0.7,0.9
EigenWorms,inceptionTime,0.2,,,10,0.0001,4,0.9,0.9
EigenWorms,inceptionTime,0.2,,,20,0.001,2,0.7,0.7
EigenWorms,inceptionTime,0.2,,,20,0.001,2,0.7,0.9
EigenWorms,inceptionTime,0.2,,,20,0.001,2,0.9,0.9
EigenWorms,inceptionTime,0.2,,,20,0.001,4,0.7,0.7
EigenWorms,inceptionTime,0.2,,,20,0.001,4,0.7,0.9
EigenWorms,inceptionTime,0.2,,,20,0.001,4,0.9,0.9
EigenWorms,inceptionTime,0.2,,,20,0.0001,2,0.7,0.7
EigenWorms,inceptionTime,0.2,,,20,0.0001,2,0.7,0.9
EigenWorms,inceptionTime,0.2,,,20,0.0001,2,0.9,0.9
EigenWorms,inceptionTime,0.2,,,20,0.0001,4,0.7,0.7
EigenWorms,inceptionTime,0.2,,,20,0.0001,4,0.7,0.9
EigenWorms,inceptionTime,0.2,,,20,0.0001,4,0.9,0.9
Epilepsy,inceptionTime,0.1,,,10,0.001,2,0.7,0.7
Epilepsy,inceptionTime,0.1,,,10,0.001,2,0.7,0.9
Epilepsy,inceptionTime,0.1,,,10,0.001,2,0.9,0.9
Epilepsy,inceptionTime,0.1,,,10,0.001,4,0.7,0.7
Epilepsy,inceptionTime,0.1,,,10,0.001,4,0.7,0.9
Epilepsy,inceptionTime,0.1,,,10,0.001,4,0.9,0.9
Epilepsy,inceptionTime,0.1,,,10,0.0001,2,0.7,0.7
Epilepsy,inceptionTime,0.1,,,10,0.0001,2,0.7,0.9
Epilepsy,inceptionTime,0.1,,,10,0.0001,2,0.9,0.9
Epilepsy,inceptionTime,0.1,,,10,0.0001,4,0.7,0.7
Epilepsy,inceptionTime,0.1,,,10,0.0001,4,0.7,0.9
Epilepsy,inceptionTime,0.1,,,10,0.0001,4,0.9,0.9
Epilepsy,inceptionTime,0.1,,,20,0.001,2,0.7,0.7
Epilepsy,inceptionTime,0.1,,,20,0.001,2,0.7,0.9
Epilepsy,inceptionTime,0.1,,,20,0.001,2,0.9,0.9
Epilepsy,inceptionTime,0.1,,,20,0.001,4,0.7,0.7
Epilepsy,inceptionTime,0.1,,,20,0.001,4,0.7,0.9
Epilepsy,inceptionTime,0.1,,,20,0.001,4,0.9,0.9
Epilepsy,inceptionTime,0.1,,,20,0.0001,2,0.7,0.7
Epilepsy,inceptionTime,0.1,,,20,0.0001,2,0.7,0.9
Epilepsy,inceptionTime,0.1,,,20,0.0001,2,0.9,0.9
Epilepsy,inceptionTime,0.1,,,20,0.0001,4,0.7,0.7
Epilepsy,inceptionTime,0.1,,,20,0.0001,4,0.7,0.9
Epilepsy,inceptionTime,0.1,,,20,0.0001,4,0.9,0.9
Epilepsy,inceptionTime,0.2,,,10,0.001,2,0.7,0.7
Epilepsy,inceptionTime,0.2,,,10,0.001,2,0.7,0.9
Epilepsy,inceptionTime,0.2,,,10,0.001,2,0.9,0.9
Epilepsy,inceptionTime,0.2,,,10,0.001,4,0.7,0.7
Epilepsy,inceptionTime,0.2,,,10,0.001,4,0.7,0.9
Epilepsy,inceptionTime,0.2,,,10,0.001,4,0.9,0.9
Epilepsy,inceptionTime,0.2,,,10,0.0001,2,0.7,0.7
Epilepsy,inceptionTime,0.2,,,10,0.0001,2,0.7,0.9
Epilepsy,inceptionTime,0.2,,,10,0.0001,2,0.9,0.9
Epilepsy,inceptionTime,0.2,,,10,0.0001,4,0.7,0.7
Epilepsy,inceptionTime,0.2,,,10,0.0001,4,0.7,0.9
Epilepsy,inceptionTime,0.2,,,10,0.0001,4,0.9,0.9
Epilepsy,inceptionTime,0.2,,,20,0.001,2,0.7,0.7
Epilepsy,inceptionTime,0.2,,,20,0.001,2,0.7,0.9
Epilepsy,inceptionTime,0.2,,,20,0.001,2,0.9,0.9
Epilepsy,inceptionTime,0.2,,,20,0.001,4,0.7,0.7
Epilepsy,inceptionTime,0.2,,,20,0.001,4,0.7,0.9
Epilepsy,inceptionTime,0.2,,,20,0.001,4,0.9,0.9
Epilepsy,inceptionTime,0.2,,,20,0.0001,2,0.7,0.7
Epilepsy,inceptionTime,0.2,,,20,0.0001,2,0.7,0.9
Epilepsy,inceptionTime,0.2,,,20,0.0001,2,0.9,0.9
Epilepsy,inceptionTime,0.2,,,20,0.0001,4,0.7,0.7
Epilepsy,inceptionTime,0.2,,,20,0.0001,4,0.7,0.9
Epilepsy,inceptionTime,0.2,,,20,0.0001,4,0.9,0.9
ERing,inceptionTime,0.1,,,10,0.001,2,0.7,0.7
ERing,inceptionTime,0.1,,,10,0.001,2,0.7,0.9
ERing,inceptionTime,0.1,,,10,0.001,2,0.9,0.9
ERing,inceptionTime,0.1,,,10,0.001,4,0.7,0.7
ERing,inceptionTime,0.1,,,10,0.001,4,0.7,0.9
ERing,inceptionTime,0.1,,,10,0.001,4,0.9,0.9
ERing,inceptionTime,0.1,,,10,0.0001,2,0.7,0.7
ERing,inceptionTime,0.1,,,10,0.0001,2,0.7,0.9
ERing,inceptionTime,0.1,,,10,0.0001,2,0.9,0.9
ERing,inceptionTime,0.1,,,10,0.0001,4,0.7,0.7
ERing,inceptionTime,0.1,,,10,0.0001,4,0.7,0.9
ERing,inceptionTime,0.1,,,10,0.0001,4,0.9,0.9
ERing,inceptionTime,0.1,,,20,0.001,2,0.7,0.7
ERing,inceptionTime,0.1,,,20,0.001,2,0.7,0.9
ERing,inceptionTime,0.1,,,20,0.001,2,0.9,0.9
ERing,inceptionTime,0.1,,,20,0.001,4,0.7,0.7
ERing,inceptionTime,0.1,,,20,0.001,4,0.7,0.9
ERing,inceptionTime,0.1,,,20,0.001,4,0.9,0.9
ERing,inceptionTime,0.1,,,20,0.0001,2,0.7,0.7
ERing,inceptionTime,0.1,,,20,0.0001,2,0.7,0.9
ERing,inceptionTime,0.1,,,20,0.0001,2,0.9,0.9
ERing,inceptionTime,0.1,,,20,0.0001,4,0.7,0.7
ERing,inceptionTime,0.1,,,20,0.0001,4,0.7,0.9
ERing,inceptionTime,0.1,,,20,0.0001,4,0.9,0.9
ERing,inceptionTime,0.2,,,10,0.001,2,0.7,0.7
ERing,inceptionTime,0.2,,,10,0.001,2,0.7,0.9
ERing,inceptionTime,0.2,,,10,0.001,2,0.9,0.9
ERing,inceptionTime,0.2,,,10,0.001,4,0.7,0.7
ERing,inceptionTime,0.2,,,10,0.001,4,0.7,0.9
ERing,inceptionTime,0.2,,,10,0.001,4,0.9,0.9
ERing,inceptionTime,0.2,,,10,0.0001,2,0.7,0.7
ERing,inceptionTime,0.2,,,10,0.0001,2,0.7,0.9
ERing,inceptionTime,0.2,,,10,0.0001,2,0.9,0.9
ERing,inceptionTime,0.2,,,10,0.0001,4,0.7,0.7
